State FIPS,R County FIPS Code,R State Name,R County,R Metropolitan Statistical Area FIPS Code,R  Metropolitan Statistical Area of County,State FIPS Code,County FIPS Code,State Name,County,Metropolitan Statistical Area FIPS Code,Metropolitan Statistical Area of County,travel_mode,workers_in
6,39,California,Madera County,31460,"Madera, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA", Drove alone,194
6,39,California,Madera County,31460,"Madera, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA", Carpooled,115
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,3724
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,304
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",Public transportation,77
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,60
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,1800
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,348
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",Public transportation,29
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,6
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,52182
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,6261
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",Public transportation,2766
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,18467
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,55,California,Napa,34900,"Napa, CA", Drove alone,450
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,55,California,Napa,34900,"Napa, CA", Carpooled,58
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,14074
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,3033
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",Public transportation,7590
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,540
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA", Drove alone,826
6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA", Carpooled,110
